"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","significant"
"ENSMUST00000183618.3",3.73450792419907,0.331583135408482,3.75317531072607,0.0046099965639944,0.0346163758136306,-2.04204531671537,"ENSMUST00000183618.3","ENSMUSG00000098387","Pet117","Higher in 4x"
"ENSMUST00000132886.3",4.50342422439951,-0.494146211076873,4.01935738201445,0.00308021405448361,0.0278168748362068,-2.04420014489849,"ENSMUST00000132886.3","ENSMUSG00000014195","Dnajc7","Higher in 4x"
"ENSMUST00000203040.3",4.56890828272196,-0.378841216470071,4.0250251021332,0.00305420257765169,0.027696250379402,-2.04506037785247,"ENSMUST00000203040.3","ENSMUSG00000001517","Foxm1","Higher in 4x"
"ENSMUST00000207395.2",4.36273489593602,0.4053165389458,3.90124886562148,0.00367933818834164,0.0306927432330304,-2.04611943306907,"ENSMUST00000207395.2","ENSMUSG00000030852","Tacc2","Higher in 4x"
"ENSMUST00000225475.2",3.29324945494502,0.957235881275287,3.58100937632511,0.00601343127995634,0.0400359959546376,-2.04627325151983,"ENSMUST00000225475.2","ENSMUSG00000024908","Ppp6r3","Higher in 4x"
"ENSMUST00000207084.2",5.22975743037502,4.3399141698185,3.57755343392373,0.00604582766936282,0.0401691268024969,-2.04753025245815,"ENSMUST00000207084.2","ENSMUSG00000039361","Picalm","Higher in 4x"
"ENSMUST00000209186.2",-3.92643859484811,-1.17204236328574,-4.10533749642388,0.00270967932871223,0.0261122333668296,-2.04891161727637,"ENSMUST00000209186.2","ENSMUSG00000030401","Rtn2","Higher in WT"
"ENSMUST00000140742.2",3.72029850144917,-0.915072519740537,4.04074773971481,0.00298325896778896,0.0273983852027294,-2.04892567619897,"ENSMUST00000140742.2","ENSMUSG00000030409","Dmpk","Higher in 4x"
"ENSMUST00000205879.2",-3.4390401302812,0.0517651754732138,-3.60155333233409,0.0058245779568759,0.0393026971420895,-2.04997992227659,"ENSMUST00000205879.2","ENSMUSG00000030697","Ppp4c","Higher in WT"
"ENSMUST00000027846.8",3.65774978203677,2.2449439208787,3.52834040921752,0.00652757978421919,0.041752047624453,-2.05030545518808,"ENSMUST00000027846.8","ENSMUSG00000026563","Tada1","Higher in 4x"
"ENSMUST00000105850.8",4.4749121591168,2.34642986999435,3.52957697822478,0.00651499371895484,0.0417109020710584,-2.05123587148663,"ENSMUST00000105850.8","ENSMUSG00000066037","Hnrnpr","Higher in 4x"
"ENSMUST00000125186.2",-3.96959564818609,0.209768931485287,-3.63668168438021,0.00551596209041168,0.0382661250528502,-2.05124849939394,"ENSMUST00000125186.2","ENSMUSG00000087660","B230398E01Rik","Higher in WT"
"ENSMUST00000118364.2",-6.68338861645766,-2.6153726549799,-5.35643159728493,0.000473448391493665,0.0102119387259738,-2.05143594269171,"ENSMUST00000118364.2","ENSMUSG00000049093","Il23r","Higher in WT"
"ENSMUST00000102809.2",-5.8919867732895,-1.54477210944419,-4.82467417810389,0.000966658516001868,0.0150354702916321,-2.05262153314255,"ENSMUST00000102809.2","ENSMUSG00000096011","Ifna15","Higher in WT"
"ENSMUST00000151609.2",4.01695738961714,0.0834101744044526,3.89291400679114,0.00372604590515591,0.0309246018276011,-2.05286282681155,"ENSMUST00000151609.2","ENSMUSG00000023873","1700010I14Rik","Higher in 4x"
"ENSMUST00000241324.2",3.34258733193492,0.0254628322445368,3.74274363296387,0.00468432751835009,0.0349698583417439,-2.05327346695654,"ENSMUST00000241324.2",NA,NA,"Higher in 4x"
"ENSMUST00000245265.2",-6.95253134394457,-1.86476772130979,-4.39602490059185,0.00177053786359111,0.0207615513049589,-2.05575762828005,"ENSMUST00000245265.2",NA,NA,"Higher in WT"
"ENSMUST00000162086.3",4.54316798588549,-1.330812129628,4.07465051320559,0.00283617381577272,0.0267132925452922,-2.05793352864625,"ENSMUST00000162086.3","ENSMUSG00000021470","Ercc6l2","Higher in 4x"
"ENSMUST00000031852.5",3.18406345212153,-0.81485725829841,3.96811710165329,0.00332633663765774,0.0289340615773349,-2.05885011485004,"ENSMUST00000031852.5","ENSMUSG00000029828","4921507P07Rik","Higher in 4x"
"ENSMUST00000137829.8",5.36499582055225,1.18867524198122,3.78219490358234,0.00440969363644528,0.0338498484074132,-2.05993454309168,"ENSMUST00000137829.8","ENSMUSG00000071866","Ppia","Higher in 4x"
"ENSMUST00000065977.11",5.19717992999192,3.36696181324583,3.51993702533623,0.00661378969914533,0.0420792191067203,-2.06219190095343,"ENSMUST00000065977.11","ENSMUSG00000053510","Nrdc","Higher in 4x"
"ENSMUST00000166554.2",3.91666511652709,0.871570303456684,3.55275532461276,0.00628373272553508,0.0410182238116592,-2.06310938078448,"ENSMUST00000166554.2","ENSMUSG00000043384","Gprasp1","Higher in 4x"
"ENSMUST00000156294.8",4.38634265734893,0.264538300671883,3.76877379951373,0.00450116349725501,0.0341576157948944,-2.06312284829843,"ENSMUST00000156294.8","ENSMUSG00000057778","Cyb5d2","Higher in 4x"
"ENSMUST00000155880.8",4.16027332675144,-1.7433787482205,4.07874503972799,0.00281893873163055,0.0266338886205632,-2.06332480001937,"ENSMUST00000155880.8","ENSMUSG00000057406","Nsd2","Higher in 4x"
"ENSMUST00000097672.4",4.57973048604637,1.03856301603561,3.71458679730011,0.00489134230394797,0.0358534619982254,-2.06398956050679,"ENSMUST00000097672.4","ENSMUSG00000073633","Fbxo36","Higher in 4x"
"ENSMUST00000094977.2",-6.01850711737829,-1.58649893703055,-4.47289923475436,0.0015853097901543,0.0196222958623656,-2.06442852327185,"ENSMUST00000094977.2","ENSMUSG00000070908","Gm13288","Higher in WT"
"ENSMUST00000097393.11",4.33202703311156,-0.630203266274652,4.01526520759953,0.00309914092276357,0.0279197127307759,-2.0654162485072,"ENSMUST00000097393.11","ENSMUSG00000036552","Ermard","Higher in 4x"
"ENSMUST00000203349.3",3.77822645903904,-0.999290395773408,4.04420997420783,0.00296787317715925,0.0273330834907337,-2.06613418799328,"ENSMUST00000203349.3","ENSMUSG00000030279","C2cd5","Higher in 4x"
"ENSMUST00000221761.2",-3.27525168682521,-0.594253524834233,-3.79598136557392,0.00431777537394311,0.0334760300767454,-2.06619433755763,"ENSMUST00000221761.2","ENSMUSG00000020644","Id2","Higher in WT"
"ENSMUST00000151701.8",4.93412410109943,1.09933731238735,3.77976352319214,0.00442611764866532,0.0338759769141047,-2.06921051775597,"ENSMUST00000151701.8","ENSMUSG00000020238","Ncln","Higher in 4x"
"ENSMUST00000211379.2",4.46923050236343,0.673547003811568,3.85352895207788,0.00395540652668551,0.031937675919789,-2.06921412097935,"ENSMUST00000211379.2","ENSMUSG00000005142","Man2b1","Higher in 4x"
"ENSMUST00000002989.11",3.21552643674896,1.41026838741652,3.52727228236762,0.00653847194161585,0.0418001590260654,-2.07108590540212,"ENSMUST00000002989.11","ENSMUSG00000002910","Arrdc2","Higher in 4x"
"ENSMUST00000112186.9",7.59483996234027,0.573625299069019,4.03024696343456,0.00303044378092372,0.0275748891554974,-2.07154941458097,"ENSMUST00000112186.9","ENSMUSG00000041975","Mettl8","Higher in 4x"
"ENSMUST00000309525.1",-6.95072560826181,-2.89615624920705,-5.30974000391103,0.000503258364273153,0.010580579968236,-2.07244947966826,"ENSMUST00000309525.1",NA,NA,"Higher in WT"
"ENSMUST00000064848.7",3.76680720628958,3.55566139811628,3.54896216764634,0.0063209811332147,0.0411079822961883,-2.07283250733275,"ENSMUST00000064848.7","ENSMUSG00000052798","Nup107","Higher in 4x"
"ENSMUST00000044451.4",3.23355813301838,-0.57355358267355,3.87304073125581,0.00383996587053274,0.0314215109181684,-2.07307637357184,"ENSMUST00000044451.4","ENSMUSG00000054999","Naaladl1","Higher in 4x"
"ENSMUST00000146281.8",4.20942836269263,-2.30014379882772,4.38923097515486,0.0017879872787199,0.0208478980505583,-2.07408728948341,"ENSMUST00000146281.8","ENSMUSG00000022974","Paxbp1","Higher in 4x"
"ENSMUST00000164806.6",3.94028242208884,2.77740561124219,3.52038423057031,0.00660917188815587,0.0420570306896897,-2.07413570502554,"ENSMUST00000164806.6","ENSMUSG00000022407","Adsl","Higher in 4x"
"ENSMUST00000211234.2",4.32995157672322,0.215491597454692,3.86631171952938,0.00387936966516081,0.0316426067363445,-2.07462113778274,"ENSMUST00000211234.2","ENSMUSG00000002778","Kdelr1","Higher in 4x"
"ENSMUST00000216619.2",-7.45358269431202,1.65990951859495,-3.5403423967661,0.00640649079163337,0.0413297035194028,-2.07558416928924,"ENSMUST00000216619.2","ENSMUSG00000004096","Cwc15","Higher in WT"
"ENSMUST00000050874.14",3.49267710805634,1.23362082047716,3.54472004803886,0.00636291300849642,0.0412016888804605,-2.07649918559425,"ENSMUST00000050874.14","ENSMUSG00000050106","Tmc8","Higher in 4x"
"ENSMUST00000210816.2",4.15051856338773,-1.80768875677961,4.07900577516729,0.00281784499672028,0.0266303171940491,-2.07694054109441,"ENSMUST00000210816.2","ENSMUSG00000058886","Deaf1","Higher in 4x"
"ENSMUST00000227792.2",3.69457869780511,-0.650303079123039,3.95673881725322,0.00338377138715611,0.0292314794525,-2.07817503551776,"ENSMUST00000227792.2","ENSMUSG00000022303","Dcstamp","Higher in 4x"
"ENSMUST00000370736.1",-3.39500486141125,-0.874688603920324,-3.80025240919019,0.00428971157236719,0.0334186135831378,-2.0786240045028,"ENSMUST00000370736.1",NA,NA,"Higher in WT"
"ENSMUST00000174507.8",3.22398001609064,1.1289688072535,3.53933197119277,0.00641659359865624,0.0413536489951553,-2.07964728933201,"ENSMUST00000174507.8","ENSMUSG00000079553","Kifc1","Higher in 4x"
"ENSMUST00000154975.8",3.58412404320991,1.3192150133244,3.55603006625367,0.00625176044987098,0.0409163150498416,-2.0797933919156,"ENSMUST00000154975.8","ENSMUSG00000067367","Lyar","Higher in 4x"
"ENSMUST00000149386.8",3.91699541735875,0.742014280903598,3.63324010726167,0.0055454229888517,0.0383505953930472,-2.08026991012724,"ENSMUST00000149386.8","ENSMUSG00000087135","Gm16096","Higher in 4x"
"ENSMUST00000231306.2",3.71106762798692,-0.5648281924278,3.95256774889225,0.00340508858767025,0.0293339039318006,-2.08050386136698,"ENSMUST00000231306.2","ENSMUSG00000003166","Dgcr2","Higher in 4x"
"ENSMUST00000173824.8",4.29007008497641,3.15107407538717,3.50704221955951,0.00674840638772004,0.0425500688811895,-2.08198333849345,"ENSMUST00000173824.8","ENSMUSG00000038943","Prc1","Higher in 4x"
